asin,description,title,price
0,"TheIncredicharge I-5000External Battery Pack will extend the battery life of your device by up to 300% of its normal capacity! This device with its 2 USB ports accommodates convenience in its design - allowing charging or use of multiple devices at once.  Never again will you have to waste time while travelling looking for an outlet to charge your mobile device.The power supply unit is equipped with a 5000mAh battery making it compatible with most mobile devices including:- iPhone , 3G, 3GS, 4, 4S- iPod Touch 2G, 3G, 4G 5G- iPod Video Classic 30GB, 60G, 80GB- HTC Android, Droid, Blackberry, Samsung Galaxy, Kindle, LG, Palm- Nintendo DS, Nintendo DS lite, Nintendo 3DS, Sony PSP (Adaptors sold separately)Key Features:- 5000mAh battery Capacity- 2 USB ports for multiple charging- Sturdy buttons.- LED battery gauge indicator.- FlashlightThis unit is backed by the ""Incredicharge"" 12 month product warranty.","Incredicharge I-5000 External Battery Pack and Charger 5000mAh Capacity for Apple Iphone 4 4s iPod Touch (1G 2G 3G 4G 5G), Motorola Droid Razr MAXX, HTC Android EVO, Blackberry, Samsung EPIC, Samsung Galaxy Tablet, Samsung Galaxy S2 S3 and Many More Devices",17.95
1,"PowerGen PGMPP8400 has a convenient dual USB port design for charging two device simultaneously. Intelligent circuitry provides safe and highly efficient charging. Top quality battery cells assure long life. PowerGen Battery Pack is fully compliant with international safety standards.Compatible with:AppleiPhone 5s 5c 5 4s 4 3Gs 3G 2G / iPod Touch / iPad 1 2 3 4 Air mini Retina[OEM CABLE REQUIRED]HTCOne X V S / One mini, MaxSamsungGalaxy S5 S4 S3 S2 Note / Epic 4G / Galaxy Nexus[NOT Compatible with Galaxy Tab series or Asus Transformer]BlackberryCurve / Storm / Tour / Style / Bold / TorchMotorolaAtrix / Bionic / Droid Razr Maxx, X , X2, 2 , 3, 4 / Moto X GNokiaLumia SeriesLGOptimus G G2 G ProSonyExperia / X1 / X10 / X8 / Arc / Neo / Play / MiniAmazonKindle Fire, HD, DX and all other kindlesBuy with ConfidenceShipped by Amazon7*24 hours Support1 Year Limited replacement warrantySpecs:- Fully Charged by 1A Adapter: 9-10hrs- Fully Charged by 10w Adapter (Not included): 5-6Hrs- Life Cycle  > 500 Times- Input: DC 5V / 1500mA- Output1 : DC 5.3V / 2000mA and DC5.3v / 600mA- Dimension: 3.8 x 2.5 x .87 in.Accessories:- 5 Connectors ( 2xMicro USB, 1xNokia DC 2.0, 1xMini USB, and 1xPSP)- Two Extension cables",PowerGen&reg; 8400mAh External Battery Pack High Capacity Power Bank Charger Dual USB 2.6Amps output for Apple and Android Devices,29.99
2,"These Styli unlock the full potential of your iPad, iPhone, Kindle Fire, Playbook, or other Touch Screen Device. Don't limit yourself to the precision of your fingertip. Fingers are great for painting when you are 4 - but, if you really want to touch, type, innovate and design on your device you need a capacitive stylus. These Styluses makes it easy to turn a page, pick a movie, draw a picture and keeps pesky fingerprints off your glossy screen. The stylus's durable rubber tip connects your brain to your device - requires no power, no drivers and no setup - just open the package and create - or escape.Don't limit yourself to the precision of your fingertip.Fingers are great for painting when you are 4 - but, if you really want to touch, type, innovate and design on your device you need a capacitive stylus.These Styluses make it easy to turn a page, pick a movie, draw a picture and keeps pesky fingerprints off your glossy screen.The stylus's durable rubber tip connects your brain to your device - requires no power, no drivers and no setup - just open the package and create - or escape.","Sty-HD 9 pcs Rainbow of Colors Capacitive Stylus/Styli Touch Screen Cellphone Tablet Pen for iPhone 4 4s 3 3Gs iPod Touch iPad 2 Motorola Xoom, Samsung Galaxy, BlackBerry Playbook AMM0101US, Barnes and Noble Nook Color, Droid Bionic",9.99
3,"The Capacitive Stylus unlocks the full potential of your iPad, iPhone, Kindle Fire, Playbook, or other Touch Screen Device.Don't limit yourself to the precision of your fingertip.Fingers are great for painting when you are 4 - but, if you really want to touch, type, innovate and design on your device you need a capacitive stylus.These Styluses make it easy to turn a page, pick a movie, draw a picture and keeps pesky fingerprints off your glossy screen.The stylus's durable rubber tip connects your brain to your device - requires no power, no drivers and no setup - just open the package and create - or escape.","Sty-HD 17 pcs Colorful 3 Styles Capacitive
Stylus/Styli Touch Screen Cellphone Tablet
Pen for iPhone 4 4s 3 3Gs iPod Touch iPad
2 Motorola Xoom, Samsung Galaxy,
BlackBerry Playbook AMM0101US, Barnes
and Noble Nook Color, Droid Bionic",12.99
4,"The iHangy Music Necklace is a convenient all-in-one way to keep your iPhone/iPod secure around your neck and listen to music hands-free. No more pockets, straps or armbands, simply clip the iHangy onto your Apple device, hang around your neck and the built in ear buds are ready to for listening when you're on the go",iHangy IHG-ONT-84709 Adjustable Lanyard Music Necklace and Earbuds for iPhone 3/3G/4/4S/iPod - 1 Pack - Retail Packaging - Black,19.95
5,,"Incredisonic IFM-500 Bluetooth FM Transmitter Hand-Free Car Kit With Goosneck GPS Vehicle Mount Combo, for Iphone 5 4 4S 3GS, Ipod Touch All Versions, Samsung Galaxy Nexus S2, &amp; S3, HTC Sensation EVO Thunderbolt, Motorola Razr &amp; Bionic, &amp; All other Android &amp; Windows PDA phones, SIRI Compatible",29.95
6,"Toddy Gear was founded by Todd Gabel as the beginning of an extraordinary, worldwide movement to clean every gadget, every screen, and color the world. Toddy Gear's Ready, Set, Cheer! line can help you express your Olympic and national loyalties with a variety of flag-pattern prints. The Toddy Gear Smart Cloth is a functional and fashionable microfiber cloth carefully crafted for effective, scratch-free cleaning of extremely sensitive surfaces. This stylish double-sided wonder cloth has a plush microfiber that doesn't just spread dirt and oil from your fingerprints around on your e-screens. It whisks them away with a couple of simple swipes, leaving you with that 'out of the box', clean feeling - and nothing feels better than a brand new gadget with that out of the box, clean feeling! Flip your Toddy Gear over, and the silky, decorated side polishes your device even further, while its tactile pleasantness tempts you to just rub it against your face like your beloved childhood blankie. Machine-washable and dryable on low heat. The AEGIS&#xA0;Microbe Shield protects against germs mildew and mold between launderings. The Toddy Gear Smart Cloth was developed to clean the world's e-screens effortlessly, effectively, and with a style that's totally fierce. Once you have got one, it will never leave your side!",Toddy Gear 15X7B11312 Union Jack 5 x 7 Inches Premium Microfiber Smart Cloth for Screen and Glass Cleaning - 1 Pack - Retail Packaging - Red/White/Blue,9.99
7,"Yubi Power High capacity power bank is Produced with the highest standards and quality in mind. Intelligent circuitry provides safe and efficient charging. Top quality high tech battery cells with protection board, ensures long life and protection against over charge, over voltage, over current, and short cirtuit protection. Intelligent LED shows the current power level. This power bank is ideal for most digital devices with DC5V input, such as iPhone, iPad, Smartphones, PSP, Mp3, GPS, Amazon kindle, Google Nexus, etc.Specs:- Average Charging time for iPhones 1.5 hrs- Input Charging Time 5 - 6 hrs- Life Cycle > 500 Times- Input: DC 5V- Output: DC 5v- Dimension: 100x42x23mm- Battery capacity: 5200mAhCompatible with Most Cell Phones:Apple:iPhone 4S /4 /3GS/and iPhone 5/ ipod touch/classic/nano/ iPad/ iPad 2 iPad 3 and 4 [OEM CABLE REQUIRED]HTC:Sensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Incredible S / Evo Shift 4g ...Samsung:Galaxy S 2 / Epic 4G / Galaxy S 4G / Galaxy Nexus ...Blackberry:Curve / Storm 2 / Tour Style / Bold ...Motorola:Atrix / Bionic / Droid X , X2, 2 , 3, 4, Pro , R2D2 / triumph ...Nokia:N900 / N8 / N97 / C6 / C3 C7 / E7 / X6 ...LG:Optimus , 2x , V , S , T / Quantum / Vortex ...Sony:Experia ARC Arc / Neo / Play / Mini ...Amazon:Kindle Fire, and all other kindles ...Others:Nook Color, NDS, Portable Wifi, PSP... etc.Package Includes:5200mAh Yubi power bankUser Guide30 pin connector for Apple devices, Micro/mini usb connector, Usb port.",Stay Powered with Yubi Power YP520A 5200mAh External Battery Charger with LED Flash Light,16.95
8,"Features:World's highest capacity for Galaxy SIII @ 7000mAh-More than 3 times the capacity of original Galaxy SIII Battery and 1 time more than other makers' Galaxy SIII Extended BatteriesZeroLemon in house engineered Full Edge Wrap TPU case-World's only maufacturer to integrate both back cover and case into one for ultimate drop protection.NFC Built into the battery-All functions on Galaxy SIII such as S Beam and Google Wallet are activated-------------------------------------------We engineered the world's highest capacity battery for Galaxy SIII while providing a full edge wrap case to protect your valuable phone. We acheived these features while maintaining the same phone thickness as other makers' lower capacity batteries. This 7000mAh battery nearly doubles the capacity of iPad Mini Tablet! (iPad Mini rated at 4490mAh)For other ZeroLemon's Galaxy SIII batteries, please click on ZeroLemon under the title-------------------------------------------*Must use included Soft Plastic TPU case with this batteryDue to oversize capacity, phone will show battery at 3% for slightly prolonged period, this is normal behavior*Actual battery life will vary depending on your hardware and software configurations and network conditions.*To charge the extended capacity & battery charge for 2-3 hours after 100% charge.","[180 days warranty] ZeroLemon Samsung Galaxy S III 7000mAh Extended Battery + Free White Extended TPU Full Edge Protection Case(Compatible with Samsung Galaxy S III GT-i9300, AT&amp;T Samsung Galaxy S3 Samsung i747, Verizon Samsung Galaxy S3 Samsung i535, T-mobile Samsung Galaxy S3 Samsung T999, U.S. Cellular Samsung Galaxy S3 R530, and Sprint Samsung Galaxy S3 Samsung L710) ***NFC for S Beam and Google Wallet***- WORLD'S HIGHEST S3 BATTERY CAPACITY **USA PATENT PENDING DESIGN**- White",42.99
9,,"Bolse Mini Windshield Car Mount Holder for iPhone 5 4s Samsung Galaxy S3/S2 Note HTC Evo 4G LTE Rhyme Incredible 2 LTE, 360 degree Rotatable",21.74
