,asin,description,title,price
0,0,"New from Douwe Egberts and Philips. Senseo--a completely new way to enjoy coffee. Now enjoy the perfect cup of coffee: full of taste, smooth, and with a delicious frothy coffee layer on top. Senseo pods allow you to brew your preferred strength with a variety of roasts: mild roast, medium roast, and dark roast.Features:Aromatic and rich, with perfect balance, this exceptional coffee makes an ideal choice for any time, any occasion.Enjoy the same fine taste and quality as our medium roast. Nothing is missing except the caffeine.Special packaging guarantees maximum freshness.","Senseo Decaffeinated Coffee, 18-Count Pods (Pack of 4)",34.9
1,1,Tuscan&#174; Dairy Farms&trade; Milk.Our farmers' pledge: no artificial growth hormones*.Milk Vitamin D.,"Tuscan Whole Milk, 1 Gallon, 128 fl oz",0.0
2,2,"It&#x2019;s zesty, zingy, and just a little spicy. Enjoy the big game with Chex pieces, mini breadsticks, pretzels, crackers, and rye chips. They are simply impossible to resist, which is great because Bold Party Blend has 40% less fat than regular potato chips.","Chex Snack Mix Bold Party Blend, 8.75-Ounce Bags (Pack of 12)",32.0
3,3,"In 1869, Ulysses S. Grant was sworn into the Presidency and the last stake was driven into the transcontinental railroad. That same year, two men--a fruit merchant named Joseph Campbell and an icebox manufacturer named Abraham Anderson &#x97; shook hands in Camden, New Jersey, to form a business that would one day become one of the most recognized in the world and serve as a symbol of Americana: Campbell Soup Company. Originally called the Joseph A. Campbell Preserve Company, the business produced canned tomatoes, vegetables, jellies, soups, condiments, and minced meats. In 1897, a major milestone occurred when Arthur Dorrance, the general manager of the company, reluctantly hired his 24-year-old nephew to join the company. Dr. John T. Dorrance, a chemist who had trained in Europe, was so determined to join Campbell that he agreed to pay for laboratory equipment out of his own pocket and accept a token salary of just $7.50 per week.Dr. Dorrance quickly made his mark on history with the invention of condensed soup in 1897. By eliminating the water in canned soup, he lowered the costs for packaging, shipping, and storage. This made it possible to offer a 10-ounce can of Campbell&#x92;s condensed soup for a dime, versus more than 30 cents for a typical 32-ounce can of soup. The idea became so hot with Americans that in 1922, the company formally adopted ""Soup"" as its middle name.Some of the most popular varieties of Campbell&#x92;s Soups have been enjoyed by generations of soup lovers: Tomato was introduced in 1897, while Cream of Mushroom and Chicken Noodle first appeared in 1934. Combined, Americans consume approximately 2.5 billion bowls of these three soups alone each year. Beyond these, Campbell markets almost every type of soup imaginable, from ""Chunky"" to ""Home Cookin&#x92;"" to ""Simply Home"" Ready-to-Serve Soups.The number of brand names under the Campbell banner has also grown, and now includes such well-known products as Pepperidge Farm breads, cookies, and crackers, Franco-American gravies and pastas, V8 vegetable juices, Swanson broths, and Godiva Chocolates.Today, the Campbell name stretches to China, Australia, Argentina, and beyond. Campbell products are available in practically every country in the world. While many of the products Americans know are offered internationally, regional varieties like Watercress and Duck-Gizzard Soup in China and a Cream of Chili Poblano soup in Mexico, have been introduced to respond to cultural differences. Even though the company&#x92;s foods have found their way into homes thousands of miles from the Camden, New Jersey headquarters, they still bear the name of the man who made his mark selling soup from a horse-drawn wagon--Joseph Campbell.","Campbell's Vegetable Beef Soup on the Go, 10.75 Ounce Microwavable Cups (Pack of 8)",16.05
4,4,,"Enfamil EnfaCare Infant Formula Powder for Babies Born Prematurely, 12.8 Ounce (Pack of 6)",97.29
5,5,,"Enfamil A.R. Baby Formula for Spit Up, 12.9 Ounces (Pack of 6) (Packaging May Vary)",95.64
6,6,,"Enfamil Prosobee Soy Infant Formula Powder with Iron CONCENTRATE, 13 Ounce (Pack of 12) (Packaging May Vary)",65.79
7,7,GURU is a powerful energy drink crafted with natural and organic ingredients,"GURU Natural Energy Drink crafted with organic ingredients, 8.4-Fluid Ounce Can (Pack of 24)",42.61
8,8,"The Zico team comes from five countries and careers in design, health, marketing, engineering, and beverages. They all grew up, or grew into, loving coconut water, and this shared passion gave life to Zico. Their headquarters is located in Englewood Cliffs, NJ, but they love to escape to their office in El Salvador or their plantation in Brazil. In their own words: ""At Zico, we believe in balance. We believe business objectives mean more with personal values and that diverse perspectives, debate, laughter, and respect lead to great insights and greater heights."" Zico supports the sustainable use of natural resources where Zico is produced and gives back 5% of its profits to these communities.","ZICO Pure Premium Coconut Water, Natural, 11.2 Ounce (Pack of 12)",27.97
9,9,,"Stash Tea Super Irish Breakfast Black Tea, 20 Count Tea Bags in Foil (Pack of 6)",24.51
